name,price,status,shipping,free_returns,items_sold
Men's Zip Up Hoodie Winter Sweatshirt Fleece Sherpa Warm Jacket Heavyweight USA,1599,New (Other),0,True,
"BULK 500+ Sports Cards!! Baseball, Basketball, Football + some SURPRISE BONUSES!",1798,Pre-Owned,839,False,
Air Jordan 1 Retro High OG Taxi Yellow Toe MENS 555088-711 GS 575441-711,10900,Brand New,1495,False,29
2022 Panini Prizm WNBA Basketball Cards - You Pick & Complete Your Set 1-200,99,Pre-Owned,95,True,
Spalding TF-1000 KHSAA Basketball 28.5 NFHS Indoor Kentucky High School Athletic,2997,Brand New,0,True,
Wilson Evolution Official Game Basketball - 29.5,6900,Brand New,0,False,
2021-22 Panini Prizm Basketball Rookie RC Singles **YOU PICK** Buy More & Save!!,99,Pre-Owned,0,False,
2021-22 Panini Chronicles Basketball You Pick #1-235 ***You Pick*** Free Ship,149,Pre-Owned,0,False,
New AIR JORDAN Why Not 5 Basketball Shoes Hi Top Mens white crimson all sizes,8995,Brand New,1199,False,
2021-22 NBA Hoops Basketball WINTER Complete Your Set You Pick 1-250 BUY 3 GET 2,99,Pre-Owned,0,False,
 3-12 Pair Mens Winter Thermal Warm Heavy Duty Cotton Crew Work Boots Socks 9-13,799,Brand New,0,True,
1999-00 HOOPS DECADE Basketball Complete Set #1-180 NM/MT US ONLY!!!,2495,,500,True,
1978-79 TOPPS BASKETBALL CARDS - COMPLETE YOUR SET - YOU PICK - FREE SHIPPING,169,Pre-Owned,0,False,
1987 1988 FLEER BASKETBALL - YOU PICK #1 - #132 - NMMT **** FREE SHIPPING ****,150,,0,False,
Puma 195217-05 Triple   Mens Basketball Sneakers Shoes Casual   - Blue,4499,Brand New,0,True,
2021-22 NBA BASKETBALL PRIZM COMPLETE YOUR SET PICK YOUR CARD VETERANS UPDATED,99,,57,False,
NBA basketball keychains - Boston Celtics / Golden State ,799,Brand New,0,False,
1996-97 TOPPS BASKETBALL ASSORTED SINGLES U-PICK,99,,395,True,
Size 7 Size GG7X BasketBall Balls FIBA Game Official Indoor Outdoor Training,3514,Brand New,0,False,
2021-22 Donruss Optic Basketball - MY HOUSE - Base and Prizms - YOU PICK,100,Pre-Owned,200,False,
MICHAEL JORDAN 1998 FLEER ROOKIE Signature 23KT Gold Card PRISM REFRACTOR GEM 10,1695,,0,True,
"Keegan Murray #DN4 2022-23 Panini Instant Draft Night #/1,548",750,,125,False,
2022 Basketball Team Championship Ring Size 8-14  Golden State Warriors,1161,Brand New,0,False,
Air Jordan 1 Mid Armory Navy Blue White Retro 554724-411,13500,Brand New,1495,False,
BasketBall Size GG7X Ball FIBA Game Official Size7 Indoor Training Match Quality,3514,Brand New,0,False,
Air Jordan Stay Loyal Shoes Triple Black DB2884-002 Men's Multi Size NEW,10000,Brand New,1495,False,89
2021-22 Panini Prizm Basketball ICE PRIZM Parallels ***You Pick***,179,Pre-Owned,0,False,
2022-2023 New Orleans Pelicans Schedule 🏀 Cool NBA Basketball Sked 🏀 ZION ‼️,145,,75,False,
Nike Air Jordan 1 Mid White Black Red Chicago Bred Toe 2022 Mens & GS 554724-079,10999,Brand New,1495,False,
Nike Air Jordan 1 Mid Taxi Black Yellow Toe MENS 554724-701 GS 554725-701,10000,Brand New,1495,False,35
 Women's Fleece-Lined Active Leggings with Pockets,999,Brand New,0,True,
"2020-21 Donruss Basketball You Pick w/ RC Red, Green, Yellow, Orange Laser",99,Pre-Owned,25,False,
"MACGREGOR X6 BASKETBALL OFFICIAL SIZE 29.5"" - Various Colors",1195,Brand New,0,False,
Nike FLY BY MID 3 Mens Black White DD9311-003 Basketball Sneakers Shoes,6495,Brand New,0,False,
2021-22 PANINI PRIZM Basketball NBA COMPLETE YOUR SET Vets Base #1-330 -You Pick,99,,0,False,
2021-22 Panini Prizm Draft Picks Basketball Orange Cracked Ice Parallels,249,Pre-Owned,0,False,
